id|cat_name|cat_id|fb_id|name|latitude|longitude
705558776175948|Travel Agency|162914327091136|705558776175948|At Nathandrei Travel & Tours|9.2130492529675|123.51435603929
925969054157914|Pizza Place|180256082015845|925969054157914|Pizza piz Siquijor|9.21238101|123.514970025
140731422790071|Local Business|2500|140731422790071|Our Lady Of Divine Providence Church Maria, Siquijor|9.2475761|123.5911417
139151816255040|Restaurant|273819889375819|139151816255040|Poblacion San Juan,siquijor|9.1579409|123.4930368
492619500833394|Catholic Church|175647552480085|492619500833394|Saint Francis De Asissi Church|9.21315|123.51552
466904106729153|Preschool|180551801986954|466904106729153|St. Anne Learning Center|9.212104|123.5155398
1602930039920166|Spa|200814353265561|1602930039920166|Fish Spa Siquijor|9.15264895|123.498281805
129460653845231|Local Business|2500|129460653845231|Hambilica Beach Resort, Siquijor Island|9.149469|123.501863
1446433968972342|Place to Eat/Drink|1578263382424714|1446433968972342|Halo-Halo Mix|9.2448569447683|123.5897686369
232987367054519|Amusement Park Ride|220626791295805|232987367054519|Capilay's Spring Cuisine & Leisure Park|9.158850485|123.49336714
166259726853073|Elementary School|140234236045713|166259726853073|Larena Elementary School|9.2531461944534|123.59441547276
163769977111616|Bakery|187827497907070|163769977111616|Julie's Bakeshop|9.247421415|123.59138502
1535885830010820|Cafe|197871390225897|1535885830010820|The Big Belly Burger and Breakfast|9.21573389|123.513982813
464741653653261|Bar &amp; Grill|233804719972590|464741653653261|U Story Restaurant|9.1437277050542|123.50900888443
634105476657066|Bar &amp; Grill|233804719972590|634105476657066|The Sunset Restaurant at Coco Grove Beach Resort|9.1435584565625|123.50879363716
496735443721647|Residence|192049437499122|496735443721647|Southtown Room and Board|9.2469524|123.5911474
353106244858708|Shopping &amp; Retail|200600219953504|353106244858708|Cassie's Collections|9.21667|123.5
566929210034937|Place to Eat/Drink|1578263382424714|566929210034937|Sr. Pedro, Siquijor, Siquijor|9.21584698554|123.51397539345
172794226437515|Italian Restaurant|193831710644458|172794226437515|Marco Polo Pasta & Pizza|9.1560737|123.4952087
654661061271996|Community &amp; Government|188662441155211|654661061271996|SSC|9.2482718|123.5912123
606498342764843|Local Business|2500|606498342764843|Kalachuchi Beach Resort|9.2470226733333|123.59079011333
149102205237570|Police Station|200121186665577|149102205237570|Siquijor Police Station|9.2140945|123.51449559
399500923444522|Residence|192049437499122|399500923444522|Pari-an,Enrique Villanueva Siquijor|9.247998239752|123.59173611185
594069867299593|Park|115090141929327|594069867299593|St. Isidore the Farmer Parish, Lazi, Siquijor|9.1586090412453|123.49320068712
374828739283645|Ferry &amp; Boat|199830500030940|374828739283645|Larena Pier|9.250413508|123.591746619
392086787598087|Safety &amp; First Aid Service|181679458534697|392086787598087|Larena Fire Station|9.2495068205883|123.59502404355
303437279732120|Local Business|2500|303437279732120|Larena Rhu|9.2500802384925|123.59145055527
1466762780282576|Beach|199165013440146|1466762780282576|Tulapos, E.v.|9.2486990947675|123.59296604991
377539975660957|Cemetery|191060874251260|377539975660957|Paradise Island Memorial Garden, Siquijor|9.2021936642203|123.50404964092
1529277054028745|Resort|187686707929197|1529277054028745|Garden Bungalows Resort, Siquijor|9.2047988249581|123.51173400879
1582745855335403|Restaurant|273819889375819|1582745855335403|Larena Triad Restaurant|9.24985|123.5927
468465163306608|Restaurant|273819889375819|468465163306608|Larena Triad Restaurant|9.24985|123.5927
112623705453659|Scuba Diving|169706939742581|112623705453659|Last Frontier Dive|9.1559521986652|123.49523588958
323438887753738|Residence|192049437499122|323438887753738|South Poblacion Larena, Siquijor|9.246905|123.5908713
1440774106201722|High School|110152272401235|1440774106201722|St. John High School, San Juan, Siquijor|9.1646374285714|123.48613444286
538300193006376|Private School|186998168001766|538300193006376|Saint Vincent Academy Larena, Siquijor|9.24528|123.594
737508326311636|Park|115090141929327|737508326311636|Ssc Larena|9.1502066666667|123.612365
340383119343849|Tourist Attraction|186825111351005|340383119343849|Bandilaan, Siquijor|9.2481|123.59224
455376624611315|Bank|133576170041936|455376624611315|Metrobank Siquijor Branch|9.22235993|123.53616138
240946815960302|Local Business|2500|240946815960302|Breakpoint, Larena|9.2485430302597|123.59236483255
876913812344259|Education|151676848220295|876913812344259|Brielle Institute of Business Management and Technology- Larena, Siquijor|9.24528|123.594
729639703749075|Health Agency|134091706658568|729639703749075|Health Center - Rhu, Poblacion, San Juan, Siquijor|9.1579587|123.4930503
514881638576606|Lodging|161811347201528|514881638576606|Island Rendevoo|9.1505155|123.50190145
660592127309930|Filipino Restaurant|107287559351594|660592127309930|Joel's Lechon Manok|9.2145244566667|123.51363054
428221807374316|Restaurant|273819889375819|428221807374316|Cliffside Beach Resort & Cottages|9.2481|123.59224
791368124218204|Eco Tours|214416301907154|791368124218204|Mountain of Peace San Juan Siquijor|9.1546182632446|123.49829101562
1527425194187742|Hotel|164243073639257|1527425194187742|Belles Beach Bar & Accommodation|9.1622299|123.52634
515446871991684|Transportation|2526|515446871991684|Darvx motorbike for rent|9.22735|123.56264
419357514869721|Hospitality Service|180699075298665|419357514869721|Tesda-Lti|9.14767|123.6216
524324277619917|Local Business|2500|524324277619917|Calalinan Siquijor|9.2494794|123.591803
357612720975854|Local Business|2500|357612720975854|Dondezco|9.213980985814|123.51364307117
787814984601183|Restaurant|273819889375819|787814984601183|JJ's Backpackers Village|9.168156414|123.481665698
1384483615206989|Restaurant|273819889375819|1384483615206989|Dalahikan Grill Masters|9.1644496016667|123.48620550667
557246911014498|Tourist Attraction|186825111351005|557246911014498|Salamangka Beach and Dive Resort, Siquijor|9.21315|123.51552
804844539555786|Beach|199165013440146|804844539555786|Seawall, Poblacion, San Juan, Siquijor|9.1585716|123.4967583
779370075413127|Community Center|296862927058877|779370075413127|Sawang, Maria, Siquijor|9.2254650075327|123.58677115713
364905190299152|Beach|199165013440146|364905190299152|Seaside Siquijor|9.2473326|123.5919973
325901774262167|Internet Service Provider|187215161312096|325901774262167|Melbonrub Internet Cafe|9.212751|123.5145434
1419343741714550|Fast Food Restaurant|192803624072087|1419343741714550|D' Barkads Food Haus|9.1733818350057|123.47614713013
174919379517115|Hotel|164243073639257|174919379517115|ISLA INN Siquijor|9.2140337767913|123.49396705627
253785581624569|Shopping/Retail|2521|253785581624569|Shaun  ravens  asst. garments|9.21457|123.51665
535301839824999|Department Store|344508555610070|535301839824999|Estallo General Mdse|9.2133616601181|123.51356799686
540466642637132|Local Business|2500|540466642637132|LAQ Building, Siquijor|9.21340861|123.51413235333
182417095270615|Bakery|187827497907070|182417095270615|Park N Go Siquijor, Siquijor|9.2144681|123.5133406
151431328354715|Local Business|2500|151431328354715|Ocean Jet|9.2189156222471|123.51205581752
160528481655|School|365182493518892|160528481655|Siquijor Provincial Science High School|9.21697|123.47160833
265964713540968|Beach|199165013440146|265964713540968|Bagsa Cemetery Beach|9.24733018|123.585693725
936332889765179|Makeup Artist|146059155460366|936332889765179|Dhay Jhan John Local Business|9.16529|123.48536
1759046117652001|Business Services|187133811318958|1759046117652001|Jerry Tumala Thai School Massage|9.16269|123.52443
515990365201246|Dance Club|176139629103647|515990365201246|Jaiyam's Garden|9.2043633333333|123.50928666667
828503173912236|School|365182493518892|828503173912236|St. Vincent Academy|9.24851771|123.5918729
378160155642302|Karaoke|187872604591327|378160155642302|HyperBox KTV|9.21556|123.514
509273405903209|Catholic Church|175647552480085|509273405903209|Sta. Barbara Parish - New Church Project|9.1159954537472|123.57353210449
1559400490969822|Restaurant|273819889375819|1559400490969822|Lacosta|9.2475639|123.5911938
289854284498507|Mountain|194201147294761|289854284498507|Cabughayan Falls|9.1400350104212|123.62665747863
